,Method,Avg Optimality Rate
0,2s,0.0032
1,cave,0.0128
2,cave+,0.019
3,caveh,0.009600000000000001
4,spo+,0.0264
5,spo+_rel,0.013800000000000002
6,pfyl,0.0189
7,pfyl_rel,0.0045000000000000005
8,nce,0.004399999999999999
