,Method,Avg Test Regret,Std Test Regret,Avg Train Time,Std Train Time
0,2s,12.581823521651497,2.1380487861168485,1.3766370058059691,0.13102065472569976
1,cave,11.301762926685662,1.2990356363008435,3.5202717065811155,0.11448239803724503
2,cave+,8.890184629942416,0.896001602261462,3.716438722610474,0.14092616606142505
3,caveh,8.836961968302544,0.9982342589061206,2.38568799495697,0.19471642133698183
4,spo+,7.724477511456505,1.1083275598686257,18.676365423202515,0.3970862990789403
5,pfyl,7.858394383097851,0.9550304245012831,17.781206965446472,0.13497698385205217
6,nce,13.784385416531308,1.5780423039208453,4.378014612197876,0.4221438648762656
