,Method,Avg Optimality Rate
0,2s,0.0
1,cave,0.0
2,cave+,0.0001
3,caveh,0.0001
4,spo+,0.0
5,spo+_rel,0.0
6,pfyl,0.0
7,pfyl_rel,0.0
8,nce,0.0
