,Method,Avg Optimality Rate
0,2s,0.0001
1,cave,0.029600000000000005
2,cave+,0.03979999999999999
3,caveh,0.0258
4,spo+,0.028900000000000002
5,spo+_rel,0.012599999999999997
6,pfyl,0.0372
7,pfyl_rel,0.014899999999999997
8,nce,0.0
