,Method,Avg Optimality Rate
0,2s,0.0016
1,cave,0.0201
2,cave+,0.03580000000000001
3,caveh,0.0252
4,spo+,0.031000000000000007
5,spo+_rel,0.015200000000000002
6,pfyl,0.028500000000000004
7,pfyl_rel,0.0121
8,nce,0.004200000000000001
