,Method,Avg Optimality Rate
0,2s,0.3738
1,cave,0.41930000000000006
2,cave+,0.4513
3,caveh,0.44719999999999993
4,spo+,0.46799999999999997
5,pfyl,0.47109999999999996
6,nce,0.36350000000000005
