,Method,Avg Optimality Rate
0,2s,0.35629999999999995
1,cave,0.32389999999999997
2,cave+,0.36769999999999997
3,caveh,0.3638
4,spo+,0.37699999999999995
5,pfyl,0.38359999999999994
6,nce,0.3048
