Train Regret,Test Regret,Train MSE,Test MSE,Train Elapsed,Test Elapsed,Train Nodes Count,Test Nodes Count
0.09283391439087184,0.10152517418068316,214.50781,232.9625,74.82073020935059,23.10107922554016,1.0,1.0
0.09233348680648369,0.10457294292845189,245.14517,256.6974,73.74841713905334,21.81337857246399,1.0,1.0
0.08932795076787851,0.09755956531197507,240.93478,242.35788,75.95896029472351,24.819214820861816,1.0,1.0
0.08766515985520577,0.10151502823318692,236.77646,248.6959,76.74962449073792,24.202736139297485,1.0,1.0
0.09222297057433972,0.10419040983307534,236.09866,217.5974,72.38405418395996,22.644341707229614,1.0,1.0
0.08972852978129998,0.09737677368213225,295.96045,240.18184,73.76297664642334,24.133840560913086,1.0,1.0
0.08107122321744349,0.09064959037910487,225.66176,241.70763,72.6441605091095,21.91393733024597,1.0,1.0
0.08091928811282838,0.09024727515906762,268.8215,244.16557,73.66175293922424,22.133787155151367,1.0,1.0
0.08525892602451073,0.09157080675547093,235.89934,253.14981,73.08032727241516,20.069164037704468,1.0,1.0
0.09098826268900656,0.10192579486164637,270.241,260.95694,72.62644934654236,22.043872833251953,1.0,1.0
