Train Regret,Test Regret,Train MSE,Test MSE,Train Elapsed,Test Elapsed
0.07519335071165904,0.09398604057536242,0.14957962560653687,0.16355158239603043,1.7619762420654297,1.851527214050293
0.08911705577078137,0.09081313401248713,0.20458894896507263,0.18178851389884948,1.309473991394043,1.823695182800293
0.0971694952854902,0.08799865865281638,0.17343823826313018,0.1856622605919838,1.3035645484924316,1.8285634517669678
0.08279208318978531,0.079304161445522,0.15503233754634857,0.17044317889213562,1.306121587753296,1.8213169574737549
0.08298527992181098,0.07887593266351564,0.15954353559017181,0.15363367226719857,1.3015766143798828,1.832756519317627
0.12096775980186789,0.11081840425716108,0.18599084556102752,0.20923905634880066,1.3048949241638184,1.8313572406768799
0.07059935917899259,0.07141038370353399,0.15097739064693452,0.17568487930297852,1.305058240890503,1.827995777130127
0.10514421673969854,0.10037425553265394,0.2493595221042633,0.20287556886672975,1.3041703701019287,1.8254683017730713
0.07773712016739999,0.08131911386848038,0.1764094875752926,0.17209521782398224,1.3020598888397217,1.8165762424468994
0.08556776437902221,0.08736282480807611,0.17543558943271637,0.22612629103660584,1.3004710674285889,1.8150339126586914
