Train Regret,Test Regret,Train MSE,Test MSE,Train Elapsed,Test Elapsed,Train Nodes Count,Test Nodes Count
0.0993610786624588,0.1119477497773538,1.7200029,1.7412131,4.892770290374756,2.063551664352417,0.0,0.0
0.09901431776782554,0.10604692438206846,1.8501544,1.7554052,4.625290632247925,2.0565621852874756,0.0,0.0
0.12655843349242943,0.1319437794962407,1.6574827,1.6816057,4.573260068893433,2.061892032623291,0.0,0.0
0.09859420763224491,0.08778244015853386,1.5979395,1.6057848,4.6253297328948975,2.0674521923065186,0.0,0.0
0.09597639372415416,0.08948937892114497,1.6392454,1.6259365,4.620412349700928,2.0702507495880127,0.0,0.0
0.1437418458584099,0.13231802474433146,1.8742315,1.8432695,4.601280212402344,2.0663464069366455,0.0,0.0
0.09133462020842685,0.09731252316371108,1.4387265,1.5365471,4.599891424179077,2.063431739807129,0.0,0.0
0.11541354045956767,0.1071261596264496,2.0049036,1.7973657,4.626569032669067,2.0466997623443604,0.0,0.0
0.09336535884507687,0.0986347623340957,1.6085373,1.5778085,4.604201555252075,2.0651865005493164,0.0,0.0
0.11431643920974031,0.11070409972137979,1.6079795,1.7522436,4.633583068847656,2.062868595123291,0.0,0.0
