Regret,MSE,Nodes
0.28156834840774536,0.56407976,0.0
0.4680909588932991,0.5371579,0.0
-2.9802322387695312e-08,1.7445772,0.0
0.0875515341758728,0.9380566,0.0
0.6044479161500931,1.1514213,0.0
0.21585823595523834,0.79655975,0.0
0.34929506480693817,0.43378434,0.0
0.5153061598539352,1.6411412,0.0
0.28471793234348297,0.5209662,0.0
3.725290298461914e-08,0.7830159,0.0
0.4420258551836014,0.94585496,0.0
0.5088560432195663,0.6708442,0.0
0.9049617052078247,0.64081925,0.0
0.18704748153686523,0.8516313,0.0
-4.470348358154297e-08,0.5470573,0.0
0.8402525782585144,9.569481,0.0
2.086162567138672e-07,0.8035823,0.0
0.15198971144855022,0.8210309,0.0
0.1315370094962418,0.8139909,0.0
0.3660261631011963,1.1319526,0.0
0.4101046845316887,3.4407704,0.0
0.10129006206989288,0.5611094,0.0
4.470348358154297e-07,9.263387,0.0
3.725290298461914e-09,0.44784623,0.0
-1.4901161193847656e-07,1.8982846,0.0
5.960464477539063e-08,1.0545998,0.0
1.8769354224205017,2.8344789,0.0
2.7939677238464355e-09,1.6462796,0.0
0.6358128190040588,10.961854,0.0
0.8131087273359299,1.5821902,0.0
0.31849317252635956,0.72080374,0.0
0.15115320682525635,0.5753819,0.0
0.2951514720916748,1.6760498,0.0
-5.21540641784668e-08,0.64671195,0.0
0.20268723368644714,0.40724793,0.0
0.1616773009300232,0.810923,0.0
0.37889455258846283,2.4338465,0.0
-5.587935447692871e-08,1.0976925,0.0
-2.2351741790771484e-08,0.35906243,0.0
1.0280660688877106,0.4983348,0.0
1.4986435025930405,0.6551162,0.0
-3.2782554626464844e-07,6.479454,0.0
-1.4901161193847656e-07,1.1198204,0.0
0.08471250906586647,0.86612433,0.0
0.5711764991283417,0.81686926,0.0
-1.043081283569336e-07,0.35143927,0.0
0.2561011016368866,1.7429434,0.0
2.9802322387695312e-08,0.76839393,0.0
0.03860092535614967,0.8584526,0.0
0.17877362668514252,0.40332684,0.0
0.5129631161689758,0.95799387,0.0
0.6041206233203411,1.324803,0.0
1.6763806343078613e-08,0.48498234,0.0
0.3260325640439987,0.6808549,0.0
0.7706307023763657,1.5892153,0.0
1.4901161193847656e-08,0.4122129,0.0
0.4021095037460327,1.0422035,0.0
0.4854598790407181,0.58493483,0.0
-1.4901161193847656e-07,1.2453398,0.0
0.36401888355612755,1.996349,0.0
0.2794749438762665,0.7347292,0.0
1.4901161193847656e-08,0.4048935,0.0
0.4286195933818817,0.6900648,0.0
2.9802322387695312e-08,0.50192773,0.0
0.045423172414302826,0.39358574,0.0
4.470348358154297e-08,1.3554347,0.0
-5.960464477539063e-08,0.8320888,0.0
-1.4901161193847656e-08,0.5633968,0.0
0.0381203256547451,0.5315419,0.0
-1.1920928955078125e-07,1.4581187,0.0
-1.862645149230957e-08,0.7624036,0.0
0.34192319214344025,0.24784224,0.0
0.19641000032424927,0.6177395,0.0
8.381903171539307e-08,1.3048174,0.0
0.23169364035129547,0.27696007,0.0
0.22024570778012276,0.7911661,0.0
0.002745388075709343,0.5529507,0.0
1.4156103134155273e-07,0.6947707,0.0
-3.129243850708008e-07,6.0182166,0.0
0.3831968680024147,0.6709488,0.0
0.12747003138065338,1.5730155,0.0
0.0770229920744896,0.90023595,0.0
0.0,3.6604946,0.0
0.0038653016090393066,0.21288256,0.0
0.9111164808273315,6.1244125,0.0
0.20873955637216568,0.47999033,0.0
-1.1920928955078125e-07,0.7923166,0.0
1.1920928955078125e-07,2.0644202,0.0
-1.0803341865539551e-07,3.455462,0.0
-1.1175870895385742e-08,0.6527723,0.0
0.43325144797563553,0.55714643,0.0
5.960464477539063e-08,1.5553248,0.0
5.960464477539062e-07,10.209452,0.0
1.1175870895385742e-08,0.82300395,0.0
0.055587053298950195,1.8845499,0.0
0.05903828144073486,0.33819908,0.0
1.207234263420105,1.6575359,0.0
1.3229125067591667,0.60877144,0.0
0.047195300459861755,0.4569463,0.0
0.04600901901721954,0.57585615,0.0
0.2395942360162735,0.4549262,0.0
