Train Regret,Test Regret,Train MSE,Test MSE,Train Elapsed,Test Elapsed,Train Nodes Count,Test Nodes Count
0.05625686058812062,0.06525714170832052,57.45515692138672,58.686378479003906,99.95349788665771,17.961854457855225,1.002,1.0
0.056410479321911386,0.06154498336417177,59.17748257446289,60.80092758178711,100.01471447944641,19.115413188934326,1.0,1.002
0.05713879105243574,0.0638149265540589,55.72511651611328,56.2646470336914,100.73556113243103,17.124017238616943,1.008,1.009
0.05779407893732074,0.06404583170655152,59.45230548095703,59.93029287719727,104.37406063079834,20.97984790802002,1.0,1.0
0.05802705289787797,0.061977397479463375,56.27868713378906,54.073621490478516,104.43145847320557,19.010398387908936,1.005,1.0
0.05689963555578076,0.0613907587284173,61.25650811767578,58.638929992675784,103.16569304466248,17.36794424057007,1.004,1.0
0.05511567111560979,0.06406503181406241,56.30989758300781,57.523027954101565,99.87151336669922,18.316861629486084,1.016,1.011
0.05195535937110201,0.05700459100155677,60.69057574462891,58.80119769287109,105.12007069587708,18.66502356529236,1.0,1.0
0.054909172645067644,0.06032003977005588,56.05721936035156,56.99273287963867,103.91371893882751,20.68916940689087,1.0,1.021
0.05494677859504769,0.060343724244687355,60.277197021484376,60.456083251953125,104.09451270103455,20.629926204681396,1.01,1.0
