Train Regret,Test Regret,Train MSE,Test MSE,Train Elapsed,Test Elapsed
0.11181041943233384,0.10334935476461486,2.8043247451782225,2.894770509719849,4.91893744468689,1.9585235118865967
0.10979115093558742,0.10739703889706068,3.622887680053711,3.1590007457733154,4.542717218399048,1.9221806526184082
0.10243069019981653,0.10898223266217354,2.947082263946533,3.2063223276138304,4.522473573684692,1.9338688850402832
0.12840881721376257,0.13163419646003366,2.738097562789917,2.85708660697937,4.559614896774292,1.9294748306274414
0.10964725957475792,0.10303166150229458,2.806422251701355,2.677941530227661,4.577477931976318,1.920607328414917
0.15189127981155534,0.13762827778883413,3.4370197191238403,3.7890257835388184,4.573646306991577,1.9405796527862549
0.09749096487818125,0.09863047852885176,2.4116174745559693,2.7770912265777588,4.510953664779663,1.9405128955841064
0.12241570003198969,0.11729107194473057,4.575539039611816,3.5206076869964598,4.574167251586914,1.9429726600646973
0.08436639710668435,0.10429952803823506,2.967980825424194,2.9395582246780396,4.546672821044922,1.9290225505828857
0.10334512887569214,0.1179324513801631,2.9703576641082763,4.049200912475586,4.613248825073242,1.9317781925201416
