Train Regret,Test Regret,Train MSE,Test MSE,Train Elapsed,Test Elapsed
0.09603613209956882,0.09741694004107988,1.522168056488037,1.6002283868789673,2.783883571624756,1.5272331237792969
0.09867924304931223,0.09237634804793542,2.248859827041626,1.8371610507965088,1.9855077266693115,1.4950244426727295
0.10427927117814947,0.09646740950540232,1.7310088367462158,1.9878293972015382,1.9549884796142578,1.5052809715270996
0.08481241393907588,0.07091009463719963,1.5853088054656983,1.703484817504883,1.9985811710357666,1.5029067993164062
0.08310031688839391,0.08710309414020027,1.6161161394119263,1.4824151077270509,2.2699239253997803,1.515805721282959
0.12686342430570138,0.1039206369985537,1.9458152797222137,2.3276124792099,2.038179397583008,1.5000388622283936
0.08061172545436879,0.07668148084912556,1.4437722940444946,1.76982768535614,2.0191280841827393,1.5078957080841064
0.10547195082255839,0.09088814282733405,3.107985272407532,2.1881900243759156,1.9943604469299316,1.5115468502044678
0.08201897262511179,0.08525643464823641,1.8607597188949585,1.857542350769043,2.079371452331543,1.5013599395751953
0.08111585073320088,0.08267561434923114,1.8720321006774903,2.881685529708862,2.091682195663452,1.5047073364257812
