Train Regret,Test Regret,Train MSE,Test MSE,Train Elapsed,Test Elapsed,Train Nodes Count,Test Nodes Count
0.08916603461339447,0.09407713385998875,1.8439974,1.9192773,5.3237996101379395,1.972907304763794,0.0,0.0
0.1016676442699606,0.08760820858906587,2.4798117,2.064139,4.945920467376709,2.0151398181915283,0.0,0.0
0.10178455712859015,0.10416996470429296,1.8704336,2.1231246,4.923466205596924,1.9723315238952637,0.0,0.0
0.09526979219853218,0.08750670825264104,1.720207,1.8469644,4.891990900039673,1.9741084575653076,0.0,0.0
0.07892036269127366,0.08151736482213821,1.8118427,1.6880031,4.960259675979614,1.9868109226226807,0.0,0.0
0.12066363374981455,0.10348194119968379,2.0506723,2.434375,4.892139434814453,1.9809153079986572,0.0,0.0
0.0779116711731379,0.07814314599617297,1.571082,1.8986957,4.906736850738525,1.9564847946166992,0.0,0.0
0.10160123311251251,0.08175646811533471,3.1769037,2.2645516,4.93904972076416,1.986872673034668,0.0,0.0
0.07488574040661225,0.08575160233812597,2.0497465,2.038399,4.94173002243042,1.961787462234497,0.0,0.0
0.08041584497270139,0.08500592511679779,1.9276812,2.9354188,4.895633220672607,1.954808235168457,0.0,0.0
