Train Regret,Test Regret,Train MSE,Test MSE,Train Elapsed,Test Elapsed,Train Nodes Count,Test Nodes Count
0.12304408125242519,0.14578350294933484,1148.789,1141.4364,163.0072681903839,123.78312516212463,1.0,1.0
0.1259163515561446,0.1459920536512595,1142.1698,1134.1227,137.23932719230652,132.18414187431335,1.0,1.0
0.12698271950606146,0.14441650883832668,1129.561,1088.5123,122.36498379707336,131.1785852909088,1.0,1.0
0.1308320448531497,0.1482670620935047,1206.9941,1194.1084,115.36611652374268,125.65588808059692,1.0,1.0
0.1234255189808464,0.14257653651620694,1243.0645,1219.074,177.9082555770874,132.84027242660522,1.0,1.0
0.12448249643940834,0.13954163094374333,1181.8752,1150.939,138.722416639328,132.2806568145752,1.0,1.0
0.12522551733919454,0.14668465999786295,1226.574,1224.9282,162.90977716445923,132.8218834400177,1.0,1.0
0.12561472034017482,0.1407644199208477,1110.198,1091.3447,167.41897058486938,125.68398666381836,1.0,1.0
0.12742046605842844,0.1426536520805734,1152.4915,1128.5966,143.2149257659912,125.1032166481018,1.0,1.0
0.11953816650670752,0.1347659153183006,1172.0438,1157.1208,189.86862635612488,135.06334161758423,1.0,1.0
