Regret,MSE,Nodes
2.9704971313476562,56.70752,1.0
8.499698638916016,80.03992,1.0
3.398895263671875,37.456295,1.0
3.6988983154296875,36.400043,1.0
7.2086029052734375,66.51669,1.0
6.2238006591796875,38.138306,1.0
7.177803039550781,31.66155,1.0
8.712295532226562,30.234972,1.0
3.7639999389648438,39.615498,1.0
3.6443939208984375,45.56966,1.0
6.15960693359375,34.204674,1.0
4.682701110839844,34.7175,1.0
8.510704040527344,41.88253,1.0
5.3632049560546875,45.533005,1.0
2.5182037353515625,38.249397,1.0
5.4538116455078125,35.322495,1.0
8.499603271484375,41.942493,1.0
8.207496643066406,87.61263,1.0
4.65570068359375,30.803928,1.0
4.0453948974609375,79.71773,1.0
6.667697906494141,64.316635,1.0
5.769401550292969,31.408699,1.0
4.113899230957031,102.64676,1.0
5.053398132324219,50.936844,1.0
7.123805999755859,74.05676,1.0
11.994102478027344,26.703054,1.0
7.6875,41.99855,1.0
5.9801025390625,35.473248,1.0
6.23590087890625,31.682705,1.0
5.822898864746094,38.033337,1.0
1.5867996215820312,48.095932,1.0
8.461296081542969,77.50978,1.0
1.547698974609375,45.945274,1.0
4.905494689941406,64.95376,1.0
5.382804870605469,45.24278,1.0
2.403900146484375,37.41071,1.0
8.05169677734375,37.43541,1.0
6.4275970458984375,28.724474,1.0
2.6194000244140625,44.27447,1.0
7.5012969970703125,130.09047,1.0
5.283500671386719,62.15733,1.0
3.712799072265625,43.447193,1.0
2.0321044921875,34.35688,1.0
6.206298828125,44.99435,1.0
6.925804138183594,56.523277,1.0
2.9118995666503906,45.81067,1.0
5.0885009765625,51.87978,1.0
5.5829010009765625,36.104233,1.0
4.760795593261719,38.34546,1.0
4.410194396972656,43.32905,1.0
8.773200988769531,32.155407,1.0
3.6968002319335938,28.794235,1.0
10.3031005859375,32.202225,1.0
9.47900390625,35.682587,1.0
3.6548004150390625,39.237534,1.0
7.78289794921875,44.85197,1.0
4.864803314208984,57.674297,1.0
4.840202331542969,34.77785,1.0
2.9431076049804688,56.429386,1.0
4.742103576660156,56.86828,1.0
3.5373001098632812,42.798523,1.0
3.7263946533203125,60.52991,1.0
7.922203063964844,40.52859,1.0
7.888801574707031,31.893661,1.0
2.2935028076171875,37.309963,1.0
3.5580978393554688,38.342354,1.0
3.4846038818359375,55.171047,1.0
1.8214035034179688,41.001255,1.0
2.4018020629882812,49.724083,1.0
6.002098083496094,46.73983,1.0
2.0627975463867188,31.512886,1.0
10.190902709960938,46.829823,1.0
6.439094543457031,44.079494,1.0
3.57550048828125,62.31621,1.0
3.83599853515625,47.538307,1.0
12.576896667480469,24.702686,1.0
5.3423004150390625,56.074707,1.0
5.303398132324219,31.153399,1.0
5.8072967529296875,36.697983,1.0
9.196002960205078,111.07674,1.0
5.499595642089844,35.965538,1.0
9.03759765625,28.71081,6.0
3.8629989624023438,59.459133,1.0
5.612102508544922,63.735844,1.0
7.449897766113281,91.63624,1.0
3.34539794921875,43.762997,1.0
6.186500549316406,46.3649,1.0
4.2178955078125,47.7583,1.0
5.277000427246094,55.302734,1.0
3.9522018432617188,48.856033,1.0
4.040397644042969,41.078617,1.0
5.761199951171875,50.602165,1.0
4.9362030029296875,55.170563,1.0
2.801605224609375,43.218067,1.0
5.685295104980469,32.54234,1.0
2.5230026245117188,49.335587,1.0
6.3444061279296875,32.267014,1.0
2.0443954467773438,32.743073,1.0
4.843894958496094,32.694828,1.0
6.753196716308594,30.27588,1.0
11.726005554199219,24.60802,1.0
4.890296936035156,32.24417,1.0
8.281303405761719,58.57727,1.0
1.61669921875,43.970608,1.0
6.375999450683594,51.95235,7.0
6.989402770996094,36.62019,1.0
10.404197692871094,31.0622,1.0
3.1907882690429688,48.945663,1.0
2.2257003784179688,40.87652,1.0
6.963996887207031,39.21817,1.0
4.360801696777344,31.439642,1.0
1.22589111328125,50.53977,1.0
5.8889007568359375,81.54382,1.0
3.4401016235351562,27.900242,1.0
7.868202209472656,31.893253,1.0
4.05419921875,36.787647,1.0
1.2042999267578125,39.679905,1.0
9.578704833984375,31.089146,1.0
5.818603515625,54.59334,1.0
5.7335052490234375,54.981174,1.0
4.9604949951171875,37.191647,1.0
4.0791015625,51.82633,1.0
5.39520263671875,49.105007,1.0
3.7466964721679688,37.30997,1.0
8.470199584960938,40.298527,1.0
8.558700561523438,87.33122,7.0
3.5846023559570312,36.054058,1.0
5.152099609375,31.383642,1.0
4.678001403808594,51.35792,1.0
4.4127044677734375,48.08919,1.0
10.06329345703125,25.710577,1.0
6.198707580566406,41.535748,1.0
6.650199890136719,36.011135,1.0
4.1251068115234375,37.677006,1.0
6.070304870605469,33.818115,1.0
4.253898620605469,36.858093,1.0
7.5531005859375,36.232834,1.0
3.2834014892578125,35.55868,1.0
3.3054962158203125,43.879963,1.0
9.047294616699219,69.78792,1.0
4.838104248046875,47.50766,1.0
6.343902587890625,27.756155,1.0
4.047798156738281,44.227882,1.0
3.657001495361328,56.798206,1.0
2.7718048095703125,36.131966,1.0
2.3156967163085938,59.871746,1.0
5.627899169921875,82.109665,10.0
3.9552001953125,76.74223,1.0
6.913299560546875,45.38283,1.0
4.3170013427734375,37.601673,1.0
4.4286041259765625,38.78839,1.0
5.012001037597656,53.42668,1.0
5.301689147949219,37.208317,1.0
6.557792663574219,36.75898,1.0
4.730903625488281,42.622055,1.0
2.6737060546875,51.064415,1.0
3.7032928466796875,53.002155,1.0
4.399803161621094,42.22134,1.0
10.716201782226562,34.05355,1.0
9.369400024414062,29.383871,1.0
4.451995849609375,31.731295,1.0
4.235504150390625,39.41273,1.0
6.125495910644531,33.913044,1.0
9.240997314453125,61.311848,1.0
6.724700927734375,41.56627,1.0
6.648506164550781,64.55169,1.0
4.4048004150390625,34.944145,14.0
4.6688995361328125,51.1559,1.0
5.073097229003906,35.093822,1.0
7.7512969970703125,48.06352,1.0
2.3731918334960938,42.63568,1.0
4.142005920410156,44.622055,1.0
2.55889892578125,38.964355,1.0
5.667900085449219,35.001644,1.0
3.7523040771484375,40.680573,1.0
4.151496887207031,43.348293,1.0
3.697498321533203,75.09991,1.0
2.2817001342773438,46.683933,1.0
7.048797607421875,43.835358,1.0
9.9219970703125,25.752327,1.0
10.051101684570312,26.006222,1.0
4.533699035644531,35.325066,1.0
5.633903503417969,28.496601,1.0
12.646812438964844,28.524988,1.0
6.900604248046875,31.684177,1.0
5.33489990234375,32.840496,1.0
8.9718017578125,37.63982,1.0
1.669891357421875,48.368015,1.0
5.978996276855469,53.33791,1.0
5.385002136230469,53.210243,1.0
2.1012039184570312,40.77246,1.0
5.4824066162109375,33.92785,1.0
6.390296936035156,38.10374,1.0
10.997100830078125,29.529991,1.0
4.5265045166015625,43.569427,1.0
10.342098236083984,50.02446,1.0
2.1255035400390625,38.368404,1.0
2.8206024169921875,53.836006,1.0
2.5988006591796875,33.34919,1.0
6.781196594238281,43.626495,1.0
7.133907318115234,54.197227,1.0
4.488494873046875,49.250114,1.0
3.30169677734375,56.982296,1.0
7.032299041748047,64.722496,1.0
4.145301818847656,42.934906,3.0
7.398094177246094,26.062681,1.0
5.6175994873046875,40.38803,3.0
4.609199523925781,33.42386,1.0
2.2772979736328125,57.63023,35.0
3.0232009887695312,62.968876,1.0
4.924400329589844,57.36393,1.0
4.099403381347656,43.727,1.0
4.434108734130859,46.98843,1.0
3.445098876953125,32.353516,1.0
8.416290283203125,29.291487,1.0
6.271507263183594,54.138035,1.0
3.7100982666015625,39.42392,1.0
8.300201416015625,59.373528,1.0
3.10260009765625,44.3187,1.0
2.67889404296875,37.56346,1.0
3.8900985717773438,58.777245,1.0
6.679595947265625,28.424809,1.0
7.516410827636719,92.129555,1.0
11.513702392578125,108.718636,1.0
3.0082015991210938,30.670864,1.0
4.845703125,53.495502,1.0
3.5837020874023438,46.34129,1.0
2.7346038818359375,45.984035,1.0
9.07049560546875,47.371735,1.0
11.516502380371094,182.37488,1.0
9.414798736572266,72.89649,3.0
5.3061981201171875,44.437557,1.0
1.4025955200195312,37.27148,1.0
11.543304443359375,69.174965,1.0
13.544502258300781,26.783789,1.0
6.451301574707031,45.061058,1.0
3.0927963256835938,53.87145,1.0
4.580101013183594,79.17961,1.0
4.615501403808594,56.28407,1.0
5.3599090576171875,44.838207,1.0
6.576202392578125,40.361618,1.0
7.950592041015625,43.47329,1.0
2.097198486328125,66.128914,1.0
11.39739990234375,24.212019,1.0
4.914604187011719,35.850777,1.0
7.87359619140625,74.535,1.0
10.579002380371094,54.73894,1.0
8.131797790527344,103.99628,1.0
6.894706726074219,53.663994,1.0
9.283203125,29.305082,1.0
4.881599426269531,52.69674,1.0
8.959701538085938,31.985338,1.0
5.476905822753906,75.52784,1.0
3.7403030395507812,40.300095,1.0
7.232704162597656,43.25532,1.0
4.049003601074219,34.086914,1.0
3.3041000366210938,50.90631,1.0
4.413795471191406,57.391354,1.0
5.690299987792969,60.886032,1.0
13.521797180175781,24.344727,1.0
3.6280975341796875,47.120262,1.0
5.91448974609375,34.48833,1.0
5.529594421386719,43.955875,1.0
7.686798095703125,52.978718,1.0
5.70989990234375,30.729055,1.0
4.7635040283203125,34.744,1.0
4.8083038330078125,50.56017,6.0
5.213600158691406,41.34375,1.0
5.682502746582031,27.9536,1.0
5.079200744628906,28.907726,1.0
3.921398162841797,50.696804,1.0
8.768699645996094,28.319658,1.0
3.52630615234375,45.260033,1.0
5.110198974609375,35.830658,1.0
4.01629638671875,37.333458,1.0
4.929100036621094,64.90843,1.0
6.185302734375,42.546272,1.0
5.671501159667969,30.58707,1.0
4.209503173828125,72.75342,1.0
7.8676910400390625,28.400644,1.0
5.800300598144531,38.958027,1.0
3.6994972229003906,59.43,1.0
12.508598327636719,26.317146,1.0
4.993202209472656,38.21694,1.0
8.246795654296875,29.95926,1.0
7.771800994873047,118.20007,1.0
5.1385955810546875,50.557514,1.0
5.379798889160156,36.37954,1.0
4.986503601074219,58.317986,1.0
4.4875030517578125,45.45151,1.0
5.640403747558594,52.880688,1.0
2.2666015625,49.37859,1.0
3.8257980346679688,56.918095,1.0
3.6122970581054688,38.129345,1.0
2.1633071899414062,46.92359,1.0
3.6127967834472656,76.00245,1.0
3.6489028930664062,62.08303,1.0
3.8059005737304688,60.024464,1.0
4.019989013671875,64.296234,3.0
8.510696411132812,61.511963,1.0
4.5072021484375,76.24911,1.0
2.4154052734375,45.13422,1.0
5.246498107910156,32.99083,1.0
9.401100158691406,33.10782,1.0
6.21319580078125,35.130955,1.0
4.131507873535156,58.757576,1.0
5.887596130371094,41.443745,1.0
6.1591033935546875,39.699615,1.0
5.536701202392578,44.460205,1.0
5.471000671386719,31.457298,1.0
2.9673995971679688,47.519794,1.0
3.4929962158203125,42.27122,1.0
5.8824005126953125,48.912346,1.0
7.5182952880859375,44.6383,1.0
9.339599609375,61.371544,1.0
1.45880126953125,57.87727,1.0
4.5529022216796875,59.251293,1.0
6.433197021484375,43.13373,1.0
2.843902587890625,46.975166,1.0
5.948493957519531,47.021152,1.0
7.964302062988281,29.385519,1.0
4.216300964355469,40.357067,1.0
4.180107116699219,40.1377,1.0
4.4427032470703125,38.47997,1.0
5.379798889160156,40.84916,1.0
7.2714996337890625,62.76666,1.0
4.386299133300781,37.67595,1.0
5.993202209472656,53.22422,1.0
9.294692993164062,25.078003,1.0
5.8408966064453125,36.56244,1.0
5.264503479003906,36.182903,1.0
6.888298034667969,42.740562,1.0
4.897300720214844,53.935764,1.0
4.624702453613281,37.111702,13.0
10.969696044921875,32.138367,1.0
5.167900085449219,33.671223,1.0
3.0041961669921875,42.74482,1.0
3.1306991577148438,36.98257,1.0
1.4139022827148438,43.684883,1.0
11.643699645996094,27.434017,1.0
8.182899475097656,32.39303,1.0
4.310096740722656,41.75771,1.0
4.486396789550781,32.893948,1.0
7.412605285644531,42.744442,1.0
7.0688018798828125,42.997833,1.0
6.242897033691406,50.28087,1.0
4.708305358886719,40.689598,1.0
1.89520263671875,33.041443,1.0
8.925300598144531,28.037182,1.0
1.72650146484375,48.912945,1.0
7.8220977783203125,48.173916,1.0
4.3943023681640625,34.457798,1.0
5.155906677246094,44.712734,1.0
7.0558013916015625,33.800224,1.0
4.2010955810546875,32.631218,1.0
12.702598571777344,27.056454,1.0
6.544898986816406,30.54096,1.0
5.561798095703125,70.09088,1.0
6.2777099609375,34.290413,1.0
7.12640380859375,43.531895,1.0
5.45269775390625,58.26629,1.0
6.7396087646484375,50.471657,1.0
5.5391998291015625,40.11543,1.0
4.3726043701171875,36.236572,1.0
6.069206237792969,42.375957,1.0
6.4875030517578125,36.752754,1.0
4.075508117675781,31.926056,1.0
5.909690856933594,53.556416,1.0
4.800506591796875,45.20858,1.0
5.682411193847656,39.661747,1.0
1.2046051025390625,51.127117,1.0
6.899700164794922,65.248314,1.0
5.559394836425781,63.610344,1.0
5.5399017333984375,48.270943,1.0
5.427696228027344,39.599556,1.0
1.7206993103027344,55.51908,1.0
5.467903137207031,39.639683,1.0
2.9905014038085938,46.402157,1.0
8.475296020507812,53.25452,1.0
4.194801330566406,36.975517,1.0
3.7165069580078125,34.643673,1.0
7.226295471191406,29.526001,1.0
3.8703994750976562,56.16391,1.0
5.177101135253906,74.94019,1.0
2.5074996948242188,38.152954,1.0
