Train Regret,Test Regret,Train MSE,Test MSE,Train Elapsed,Test Elapsed,Train Nodes Count,Test Nodes Count
0.07174834569738146,0.08328319026335743,52.580494,54.805695,79.17099690437317,346.00743556022644,46.0,49.0
0.07736420485330794,0.08786852817032635,53.039734,51.645306,79.39515995979309,330.39901089668274,40.0,37.0
0.07315286436093016,0.08165270705730074,49.53113,48.815975,80.50861287117004,340.92988991737366,44.0,43.0
0.06920890180218257,0.07773184944638589,53.297077,54.666336,78.71397280693054,339.64594316482544,35.0,47.0
0.07406411197313507,0.07905484411499429,54.15122,51.843178,78.95669841766357,333.91146755218506,39.0,38.0
0.07194082552866239,0.0792303592592489,54.4142,55.72001,78.25572466850281,346.82571744918823,43.5,44.0
0.06691615304005467,0.07645654308110944,53.23901,51.30476,77.8197660446167,337.11006259918213,36.5,34.5
0.0675960293416555,0.07467953451441801,51.545467,50.88531,78.81981897354126,335.73984479904175,33.0,45.0
0.07307387355991787,0.08122487428966926,49.151314,49.486507,79.31691813468933,335.3323652744293,42.0,42.0
0.07550322614427696,0.08218768333450362,53.493797,52.335922,78.5813467502594,332.5341215133667,38.0,42.0
