Train Regret,Test Regret,Train MSE,Test MSE,Train Elapsed,Test Elapsed,Train Nodes Count,Test Nodes Count
0.0555453325410399,0.065661396095094,53.330853,55.79973,4227.83008980751,458.8797678947449,129.0,144.5
0.0580982093547696,0.0667202565141841,55.10359,53.308125,3571.2121238708496,479.4260196685791,61.0,76.0
0.0543874114190656,0.0645500255180632,50.263485,49.356968,3872.3337457180014,444.4025948047638,89.0,104.0
0.052939251854394,0.0624897899037974,53.510452,55.0665,3612.382650613785,378.509046792984,52.0,53.0
0.0569573191891805,0.0635542349835123,54.748158,51.997475,4034.6942665576935,508.2122077941895,89.5,107.0
0.0499411293791743,0.0586223015008432,55.525036,56.84994,4146.964258670807,478.6629927158356,104.0,119.5
0.0501210197744205,0.0584184377788254,52.872868,50.66097,3577.6682126522064,409.9288182258606,78.5,90.5
0.0534398089100808,0.0636337998896742,51.904804,51.06142,3803.54521727562,448.64092540740967,110.5,122.0
0.05728671692402913,0.06269241060030263,49.30950927734375,49.80354690551758,3406.5407428741455,401.27468729019165,158.5,162.0
0.057461999277581104,0.06560015455448905,53.83212661743164,52.62135696411133,3479.8863894939423,377.4037628173828,200.5,175.0
