Regret,Nodes
1.3765029907226562,104.0
5.235401153564453,21.0
10.700298309326172,50.0
4.484001159667969,1.0
3.503398895263672,394.0
6.187694549560547,1.0
5.289295196533203,481.0
2.5355987548828125,204.0
4.041297912597656,117.0
4.6641998291015625,89.0
7.279701232910156,753.0
6.75360107421875,597.0
0.0,1.0
23.822002410888672,775.0
2.1209983825683594,199.0
2.8311004638671875,1.0
3.746501922607422,68.0
0.5367012023925781,7.0
3.8064041137695312,303.0
4.2201995849609375,1084.0
7.4215087890625,225.0
7.135498046875,483.0
3.732402801513672,700.0
1.416107177734375,69.0
7.289100646972656,454.0
7.218898773193359,204.0
9.73379898071289,394.0
6.0279998779296875,302.0
5.1732025146484375,401.0
3.7159042358398438,7.0
6.4322967529296875,209.0
3.0176925659179688,1343.0
6.399402618408203,843.0
3.85870361328125,29.0
0.8512954711914062,17.0
8.84109878540039,1131.0
7.710296630859375,539.0
8.639205932617188,170.0
3.406299591064453,26.0
3.7375946044921875,658.0
6.47509765625,115.0
-3.814697265625e-06,100.0
6.361000061035156,1.0
1.1692047119140625,275.0
8.482295989990234,39.0
6.257499694824219,202.0
4.405097961425781,1212.0
8.46889877319336,311.0
0.703704833984375,1.0
2.9001007080078125,39.0
6.945808410644531,21.0
4.885402679443359,12.0
9.320899963378906,1.0
5.564300537109375,175.0
0.7353973388671875,737.0
5.833503723144531,195.0
2.0169029235839844,1.0
7.776897430419922,38.0
3.1251983642578125,589.0
6.0345001220703125,154.0
0.08469772338867188,89.0
4.217304229736328,683.0
2.229503631591797,30.0
0.01450347900390625,72.0
1.1585960388183594,7.0
1.8288002014160156,276.0
2.9889984130859375,329.0
7.8582000732421875,132.0
5.565399169921875,232.0
7.492301940917969,617.0
9.787300109863281,447.0
7.4447021484375,155.0
2.6087989807128906,408.0
4.941596984863281,1494.0
3.80670166015625,28.0
3.3136978149414062,1468.0
2.9100990295410156,24.0
7.976497650146484,1.0
4.942100524902344,574.0
6.775596618652344,75.0
3.302898406982422,1.0
0.0,84.0
4.205299377441406,72.0
6.378299713134766,1.0
10.802600860595703,298.0
