Regret,Nodes
4.8130950927734375,287.0
1.7959976196289062,1.0
6.783500671386719,72.0
2.1870040893554688,110.0
3.076000213623047,14.0
8.51839828491211,2.0
3.8515968322753906,1.0
3.210399627685547,51.0
1.119598388671875,1.0
2.5894012451171875,5.0
1.3919029235839844,128.0
18.38040542602539,15.0
4.97320556640625,1.0
4.966804504394531,122.0
4.962898254394531,330.0
1.6801986694335938,16.0
4.876495361328125,221.0
4.250003814697266,1.0
3.626598358154297,15.0
1.64019775390625,550.0
3.4330978393554688,1.0
10.436199188232422,85.0
7.375801086425781,4804.0
4.964702606201172,1.0
5.4658050537109375,45.0
3.0492019653320312,29.0
3.8426971435546875,1.0
7.5258026123046875,209.0
5.9532012939453125,20.0
9.217601776123047,438.0
3.014904022216797,125.0
4.586597442626953,350.0
2.9547996520996094,9469.0
8.106101989746094,183.0
9.838996887207031,9.0
3.575794219970703,58.0
0.10660171508789062,420.0
3.157299041748047,16601.0
10.90020751953125,152.0
1.6534957885742188,60.0
3.190399169921875,104.0
6.937507629394531,406.0
4.985004425048828,147.0
6.813999176025391,10.0
19.52680206298828,1.0
5.556499481201172,133.0
7.44940185546875,9797.0
6.954010009765625,353.0
5.533496856689453,25295.0
7.8585052490234375,47.0
3.5372962951660156,22.0
4.415199279785156,77.0
2.205402374267578,115.0
3.8610992431640625,28.0
1.8109016418457031,441.0
10.813106536865234,1.0
1.99310302734375,251.0
7.8726959228515625,163.0
4.224800109863281,433.0
15.385204315185547,446.0
0.9938011169433594,335.0
3.80419921875,1.0
4.367900848388672,118.0
1.9897003173828125,134.0
1.0768051147460938,118.0
4.176403045654297,43.0
4.8209991455078125,341.0
7.106197357177734,152.0
4.151298522949219,9414.0
3.1929931640625,1.0
2.633403778076172,13.0
1.5907058715820312,19.0
1.0694999694824219,1.0
5.795497894287109,1.0
4.214298248291016,1823.0
6.792694091796875,110.0
6.408905029296875,649.0
7.121898651123047,127.0
0.7585029602050781,1.0
1.4753952026367188,1.0
7.115303039550781,297.0
4.811504364013672,2331.0
7.369300842285156,1241.0
1.501800537109375,1.0
1.8054046630859375,19.0
0.2632026672363281,174.0
2.0313034057617188,1.0
8.688804626464844,1.0
4.631801605224609,1.0
4.781898498535156,6.0
15.595703125,1.0
5.269596099853516,80.0
10.912403106689453,4747.0
2.467998504638672,1.0
0.4411048889160156,132.0
2.9221954345703125,1.0
1.9146041870117188,1.0
0.0,1.0
6.227302551269531,591.0
0.9540977478027344,5134.0
0.044101715087890625,316.0
5.569000244140625,7910.0
5.250904083251953,1.0
1.1326980590820312,1.0
2.8028030395507812,5371.0
3.422801971435547,37.0
5.440494537353516,70.0
1.9042015075683594,1.0
2.041301727294922,61.0
4.784599304199219,6043.0
4.271701812744141,577.0
2.5934982299804688,15.0
24.139495849609375,280.0
1.1302032470703125,7.0
2.2845993041992188,1343.0
3.9343948364257812,1.0
1.7206993103027344,51.0
26.37099838256836,4770.0
9.984600067138672,314.0
0.4245948791503906,9.0
0.0,31.0
9.335895538330078,4634.0
3.341400146484375,646.0
4.124897003173828,16012.0
9.247200012207031,29.0
4.544403076171875,1.0
1.45269775390625,361.0
4.769001007080078,1.0
6.4510040283203125,93.0
4.9626922607421875,23.0
13.17620849609375,3771.0
6.140003204345703,220.0
5.857898712158203,675.0
11.604499816894531,261.0
4.655998229980469,27.0
3.2024002075195312,599.0
8.420799255371094,14.0
6.2194976806640625,1.0
5.9792022705078125,1726.0
9.823001861572266,1.0
4.378498077392578,1.0
1.5265998840332031,2583.0
8.767501831054688,336153.0
4.3950042724609375,2159.0
0.8913993835449219,1.0
2.5708999633789062,23.0
1.3723983764648438,177.0
1.8768043518066406,1.0
1.2901992797851562,1.0
9.90679931640625,274.0
3.390899658203125,14.0
4.140800476074219,182.0
4.181293487548828,1.0
2.052898406982422,2881.0
5.004306793212891,806.0
4.1472015380859375,216.0
3.787799835205078,41.0
2.516796112060547,5485.0
5.409202575683594,185.0
4.166496276855469,1831.0
0.9452972412109375,91.0
14.28390121459961,174.0
5.687892913818359,1.0
7.133399963378906,82.0
12.946403503417969,31116.0
4.441001892089844,1.0
0.0,32.0
2.5999984741210938,12.0
2.9775009155273438,1.0
2.7831993103027344,87.0
11.976402282714844,469.0
5.296699523925781,1.0
6.7924041748046875,246.0
7.03900146484375,301.0
4.040397644042969,1062.0
8.986396789550781,25.0
3.9090957641601562,91.0
10.291095733642578,46.0
4.65679931640625,1.0
3.445201873779297,1.0
3.5191993713378906,174.0
4.017799377441406,1.0
7.260601043701172,40.0
1.5202980041503906,12.0
7.472698211669922,951.0
15.897403717041016,189.0
5.756797790527344,2560.0
1.9574012756347656,222.0
5.207000732421875,10.0
6.1968994140625,68.0
5.9622039794921875,829.0
4.490699768066406,12206.0
6.263103485107422,59.0
14.52640151977539,632.0
1.6808013916015625,1.0
6.3144989013671875,1.0
12.337902069091797,441.0
6.923500061035156,143.0
5.618095397949219,20.0
5.36920166015625,1.0
13.36080551147461,162.0
5.191703796386719,35989.0
4.6930999755859375,811.0
1.8881034851074219,1751.0
0.5819015502929688,13.0
0.8763999938964844,1.0
7.960300445556641,1.0
6.781806945800781,1787.0
0.4089012145996094,1.0
3.9946975708007812,111.0
6.1753997802734375,125.0
2.9596023559570312,78.0
2.8411026000976562,1.0
7.0189971923828125,14127.0
4.8278961181640625,70.0
1.377899169921875,1635.0
4.251804351806641,907.0
2.7378997802734375,420.0
1.4689979553222656,1.0
0.744293212890625,48.0
2.2876968383789062,131.0
3.7094993591308594,6869.0
8.156890869140625,105.0
3.9109039306640625,7.0
3.4886016845703125,2565.0
7.430397033691406,10.0
3.8092002868652344,2483.0
6.071296691894531,405.0
9.4302978515625,63.0
5.3876953125,115.0
2.1168975830078125,20.0
3.04150390625,16.0
3.9477081298828125,703.0
2.8762969970703125,34.0
3.6776962280273438,281.0
7.163501739501953,133.0
1.1523017883300781,13.0
6.602893829345703,12.0
1.7388992309570312,1.0
0.8905029296875,10.0
0.6368026733398438,46.0
16.30809783935547,130.0
4.0550994873046875,1.0
3.56610107421875,1.0
5.8751983642578125,1.0
2.2386016845703125,6.0
3.814697265625e-06,1.0
2.523895263671875,1.0
4.056995391845703,68.0
1.1883010864257812,54.0
11.477195739746094,491.0
0.0,301.0
9.360496520996094,108.0
3.9795989990234375,213.0
4.739097595214844,194.0
5.403598785400391,68.0
1.5006027221679688,1.0
11.15359878540039,84.0
9.169898986816406,11549.0
3.347095489501953,24.0
3.6688003540039062,1.0
4.102394104003906,268.0
8.455101013183594,116.0
6.4665985107421875,384.0
4.307304382324219,1617.0
4.507598876953125,16.0
1.669097900390625,272.0
7.3332977294921875,274.0
8.333499908447266,81.0
0.8916015625,1.0
4.033897399902344,930.0
8.545799255371094,95.0
4.186302185058594,7.0
3.5210037231445312,1.0
3.081798553466797,492.0
3.8877906799316406,3483.0
7.235996246337891,28.0
9.793701171875,38.0
4.197700500488281,7006.0
1.7072982788085938,1679.0
4.030097961425781,1.0
5.949596405029297,1.0
7.7805023193359375,1.0
7.538703918457031,4.0
5.630302429199219,1.0
2.1492996215820312,412.0
5.423797607421875,244.0
4.104499816894531,506.0
7.662506103515625,49.0
2.8886985778808594,1.0
6.435401916503906,1.0
2.8579978942871094,10741.0
1.9092025756835938,58.0
5.539005279541016,1.0
5.1150970458984375,210.0
3.5875015258789062,150.0
1.1545944213867188,1.0
0.6488990783691406,3896.0
2.634601593017578,58.0
6.9546966552734375,16.0
0.9597015380859375,20.0
1.8726997375488281,9.0
0.0,2367.0
5.512096405029297,282.0
3.0181007385253906,57.0
4.203098297119141,1032.0
2.2324981689453125,16.0
3.2374954223632812,200.0
2.3091964721679688,2594.0
3.1650924682617188,32.0
6.942405700683594,214.0
1.3672981262207031,1.0
2.9162979125976562,44.0
9.994697570800781,13125.0
4.783988952636719,44.0
8.488700866699219,930.0
1.899200439453125,39.0
7.759895324707031,1.0
5.197803497314453,662.0
4.181102752685547,9.0
8.464599609375,134.0
5.476402282714844,333.0
7.803192138671875,834.0
8.196800231933594,173.0
1.7042007446289062,405.0
2.2658004760742188,124.0
1.0517005920410156,1.0
14.186500549316406,203.0
5.706699371337891,121.0
5.414100646972656,72.0
2.895404815673828,137.0
9.911605834960938,146.0
1.0002021789550781,1256.0
6.046001434326172,3216.0
3.749298095703125,436.0
3.7058982849121094,3542.0
9.876602172851562,115.0
3.933399200439453,30.0
2.002704620361328,342.0
5.7227020263671875,1.0
2.6857032775878906,25.0
10.092002868652344,1.0
6.572700500488281,1016.0
3.1627960205078125,1.0
5.497898101806641,1177.0
1.6922988891601562,1.0
7.600299835205078,252.0
2.0532073974609375,669.0
4.281703948974609,164.0
3.4061050415039062,1.0
12.66250228881836,301.0
10.237800598144531,1747.0
3.6275978088378906,1.0
3.0686988830566406,216.0
2.633899688720703,1371.0
1.9380989074707031,220.0
5.425998687744141,4024.0
7.287200927734375,162.0
4.090301513671875,1.0
6.4120025634765625,59.0
3.052600860595703,1.0
7.062808990478516,4148.0
2.8376998901367188,1.0
6.610595703125,10766.0
1.8762969970703125,8.0
2.9698028564453125,9736.0
7.907501220703125,1.0
8.326000213623047,1.0
10.743301391601562,293.0
12.097797393798828,28.0
0.0,16.0
3.958698272705078,686.0
2.6156997680664062,1.0
4.961799621582031,56.0
5.4257965087890625,17.0
3.9875030517578125,2429.0
7.682300567626953,35.0
4.174999237060547,2891.0
1.0612983703613281,6.0
2.9696998596191406,52.0
3.9533004760742188,51.0
5.77960205078125,3114.0
1.1750984191894531,78.0
6.8726043701171875,62.0
4.416595458984375,1056.0
7.767005920410156,6935.0
7.221096038818359,263.0
6.925701141357422,58.0
3.2123031616210938,94.0
1.6635017395019531,3.0
5.857002258300781,1.0
5.506099700927734,5008.0
10.854900360107422,97.0
8.203094482421875,228.0
1.8513031005859375,313.0
5.166099548339844,357.0
0.7963981628417969,1694.0
7.72540283203125,1.0
2.0813980102539062,1.0
3.1423988342285156,89.0
4.675792694091797,58.0
5.597999572753906,142.0
1.5398025512695312,304.0
2.6072006225585938,23.0
4.740100860595703,1086.0
7.0601959228515625,3098.0
1.2523994445800781,3225.0
11.07619857788086,7.0
1.7497978210449219,15.0
1.2667999267578125,1.0
3.7206993103027344,41.0
3.171703338623047,94.0
4.83349609375,5256.0
-3.814697265625e-06,40.0
6.366401672363281,2034.0
1.6923027038574219,302.0
5.561702728271484,115.0
2.3128013610839844,159.0
1.8552017211914062,1452.0
2.293598175048828,489.0
6.543704986572266,73.0
6.792396545410156,1.0
8.577301025390625,22.0
1.7039031982421875,189.0
3.773303985595703,82.0
9.27960205078125,426.0
5.933696746826172,1.0
2.6291961669921875,35.0
5.454093933105469,10.0
5.187408447265625,11.0
2.562999725341797,111.0
2.4316024780273438,281.0
6.2693023681640625,22.0
7.068199157714844,22.0
4.657997131347656,104.0
2.5806961059570312,66.0
6.822700500488281,362.0
0.0,9143.0
9.399002075195312,301.0
2.9814987182617188,141.0
3.90130615234375,12.0
4.082496643066406,81.0
0.4621009826660156,189.0
6.556797027587891,2544.0
1.8498992919921875,32.0
9.838802337646484,1.0
6.880104064941406,296.0
6.1230010986328125,2485.0
4.437000274658203,1.0
5.051300048828125,1.0
1.3877029418945312,18.0
2.7777976989746094,1.0
6.517997741699219,437.0
4.705902099609375,150.0
1.99420166015625,8.0
6.6024017333984375,159.0
0.7602996826171875,1.0
4.539798736572266,374.0
2.3652992248535156,42.0
7.076702117919922,13.0
5.683998107910156,375.0
5.264896392822266,561.0
1.5566024780273438,8081.0
3.2826995849609375,242.0
5.000400543212891,32.0
0.0,111.0
3.5377044677734375,1759.0
0.9136962890625,1.0
6.241100311279297,244.0
2.2846031188964844,457.0
5.1134033203125,46.0
3.4605941772460938,1.0
5.722602844238281,143.0
9.077102661132812,144.0
3.042797088623047,40.0
6.478401184082031,1.0
6.914894104003906,688.0
3.821300506591797,4426.0
2.3766021728515625,622.0
1.328704833984375,238.0
12.127395629882812,744.0
2.9111976623535156,82.0
5.362091064453125,15.0
10.747703552246094,1.0
8.283897399902344,10.0
4.878501892089844,75.0
0.9503974914550781,556.0
3.452503204345703,1.0
7.272605895996094,20.0
3.4038009643554688,452.0
4.1090087890625,1.0
4.287605285644531,4294.0
2.7586021423339844,154.0
9.411399841308594,20.0
6.447498321533203,118.0
5.251800537109375,112.0
0.776397705078125,1.0
2.328998565673828,1.0
3.6854019165039062,54742.0
5.8087005615234375,3877.0
3.83349609375,62.0
8.932296752929688,1.0
2.111003875732422,143.0
6.05859375,103.0
6.6949005126953125,13.0
6.2472991943359375,266.0
2.351696014404297,1.0
1.7030029296875,34.0
4.978202819824219,729.0
7.468608856201172,183.0
6.765094757080078,162.0
3.526397705078125,96.0
14.900104522705078,20363.0
5.891204833984375,154.0
7.3683013916015625,1.0
3.936199188232422,90.0
7.474803924560547,1.0
10.41579818725586,1853.0
