Train Regret,Test Regret,Train MSE,Test MSE,Train Elapsed,Test Elapsed,Train Nodes Count,Test Nodes Count
0.16295280632349043,0.17350458628381835,57.942677,60.56282,80.22103238105774,288.8380274772644,46.5,61.0
0.1649477655353024,0.17206048818470437,60.65719,58.713634,77.764395236969,260.069308757782,42.0,43.0
0.16205024666110163,0.17293592447270084,54.95317,53.892654,78.21329474449158,317.83590841293335,67.0,73.0
0.15996672573768558,0.17135194637565085,58.258442,59.89607,76.85753345489502,311.1858386993408,39.0,52.0
0.1694211586431017,0.1754362715148952,59.72864,56.650803,78.73615288734436,307.2137813568115,47.0,48.5
0.16171428051757986,0.17436861413366722,60.666428,62.117737,79.49277400970459,350.8453121185303,59.5,65.0
0.15824220688100094,0.17061972384405488,57.626774,55.134148,78.81173324584961,320.3721923828125,51.0,46.0
0.1464963093007635,0.1556037016361443,56.525906,55.64469,80.31419086456299,322.85266637802124,46.0,50.0
0.15389562191902248,0.15939364580637996,53.33778,53.76918,78.87335276603699,338.4530065059662,62.0,71.0
0.1675586136096527,0.17365933048138285,58.81812,57.480507,78.13398218154907,319.8366868495941,39.0,46.0
