Train Regret,Test Regret,Train MSE,Test MSE,Train Elapsed,Test Elapsed
0.07607018512474614,0.08843143751364937,325.6762126464844,332.2134404296875,452.0847702026367,127.3868055343628
0.07627706950981125,0.0897448788304118,355.7250306396484,345.0466853027344,458.40352296829224,134.60275721549988
0.07160970864511684,0.085378572991748,341.6729892578125,342.664037109375,468.0193176269531,129.4175000190735
0.07480232966565775,0.08925144305764232,311.8259658203125,321.9574429931641,456.2100601196289,133.13947224617004
0.07327511129346817,0.08854341541084149,317.4904873046875,327.96148120117186,496.3621118068695,146.98430752754211
0.0725023437037644,0.08197708151561611,333.8340319824219,359.5500173339844,533.7155351638794,144.32332921028137
0.07587370345303031,0.08773911612638166,300.85334423828124,340.7346494140625,528.7347061634064,137.80601477622986
0.06919028442060439,0.07923851009990028,315.89442443847656,298.6661545410156,528.4227013587952,142.07018327713013
0.07260627695346715,0.08546057787607589,327.1928767089844,325.44121826171875,527.273065328598,135.3251051902771
0.06988563978327905,0.08076234097364064,329.2085654296875,310.99668395996093,479.7837464809418,147.96257185935974
