Train Regret,Test Regret,Train MSE,Test MSE,Train Elapsed,Test Elapsed
0.15401120489354528,0.2621978906367029,322.32973205566407,328.7980078125,653.7461750507355,140.9710829257965
0.13313659937793157,0.23792671085736108,351.24139501953124,340.69111791992185,664.8172736167908,156.0079984664917
0.13952590261193965,0.23848778917058758,337.8286127929687,339.1887536621094,655.6450982093811,153.28011870384216
0.14003531448340914,0.21742337268312364,306.50518701171876,316.6865498046875,672.780534029007,150.84456133842468
0.141663784334467,0.23423541512090865,312.0663703613281,322.8231745605469,637.4135706424713,140.9093837738037
0.1407993227072137,0.24577857303210268,327.9281396484375,353.9060495605469,638.3215732574463,154.55225467681885
0.14410049890013965,0.2698795703964675,298.014591796875,338.3129768066406,615.8511397838593,131.95334577560425
0.1380551628174824,0.22354086855672095,311.83652783203127,294.66957934570314,605.3091559410095,139.56108117103577
0.13181223677097081,0.20674690170748966,323.4198483886719,321.7036711425781,644.5839555263519,156.8397605419159
0.12773267524249607,0.18836098812021937,325.56127966308594,307.11643212890624,626.5418546199799,145.00467538833618
