Regret,Nodes
3.9626007080078125,809.0
3.4832000732421875,26.0
7.05450439453125,23.0
5.164897918701172,1.0
2.235198974609375,104.0
1.0088996887207031,462.0
2.1708984375,62.0
3.376800537109375,36.0
3.204498291015625,535.0
3.933502197265625,241.0
6.987194061279297,34.0
6.436603546142578,895.0
2.5616989135742188,153.0
22.760398864746094,1.0
6.897800445556641,255.0
1.6660995483398438,88.0
7.802497863769531,370.0
2.1938018798828125,155.0
5.2505950927734375,142.0
1.9410018920898438,1.0
0.8940010070800781,277.0
1.0847015380859375,238.0
2.256298065185547,367.0
-3.814697265625e-06,92.0
1.1974029541015625,24.0
3.3456993103027344,256.0
0.9370956420898438,1.0
9.866802215576172,399.0
4.183902740478516,516.0
4.943901062011719,103.0
4.5540008544921875,205.0
4.292995452880859,194.0
0.7809982299804688,59.0
2.9860000610351562,50.0
2.8034019470214844,181.0
2.7925033569335938,33.0
4.574001312255859,9.0
3.9739036560058594,286.0
3.8954010009765625,14.0
6.7104949951171875,51.0
4.285099029541016,257.0
0.0,6.0
3.517200469970703,392.0
3.2876014709472656,249.0
1.9954986572265625,278.0
9.83639907836914,70.0
6.8477020263671875,43.0
4.411403656005859,43.0
2.9179000854492188,98.0
1.6926994323730469,47.0
2.3460006713867188,295.0
6.236194610595703,103.0
3.8826065063476562,1.0
0.06499862670898438,43.0
6.024295806884766,201.0
5.026798248291016,569.0
3.2927017211914062,454.0
5.7245025634765625,6.0
7.561698913574219,85.0
2.092296600341797,1.0
3.00360107421875,205.0
4.019001007080078,285.0
2.462696075439453,1.0
0.6576004028320312,28.0
8.641597747802734,154.0
3.789897918701172,1.0
12.378700256347656,21.0
5.886802673339844,242.0
3.5537986755371094,178.0
1.7632980346679688,479.0
4.287300109863281,40.0
3.2021026611328125,209.0
10.428997039794922,56.0
1.3302001953125,273.0
2.741100311279297,13.0
5.916797637939453,225.0
11.061901092529297,93.0
2.078197479248047,49.0
5.139095306396484,238.0
7.2740020751953125,51.0
2.0686988830566406,52.0
15.952598571777344,153.0
0.639801025390625,7.0
5.2406005859375,119.0
7.8488006591796875,5.0
-3.814697265625e-06,272.0
3.6829986572265625,1981.0
5.647998809814453,418.0
2.303600311279297,78.0
6.320701599121094,1047.0
4.1107025146484375,246.0
2.40570068359375,13.0
5.536304473876953,127.0
2.5550003051757812,410.0
4.3715972900390625,136.0
6.271697998046875,53.0
2.859600067138672,65.0
4.481098175048828,16.0
1.8098983764648438,116.0
2.637298583984375,227.0
5.509098052978516,160.0
4.000499725341797,1.0
3.8301010131835938,1.0
5.618000030517578,345.0
3.0957984924316406,36.0
7.1103057861328125,1264.0
2.990398406982422,153.0
5.884502410888672,90.0
1.8031005859375,1.0
8.052501678466797,47.0
1.7159996032714844,272.0
5.597805023193359,61.0
7.007900238037109,313.0
2.3442001342773438,12.0
2.8156967163085938,1.0
1.7472991943359375,13.0
2.6403961181640625,1337.0
11.212100982666016,354.0
5.665599822998047,318.0
1.430694580078125,321.0
3.389301300048828,11.0
0.42669677734375,16.0
3.527996063232422,24.0
4.777599334716797,192.0
3.646595001220703,1.0
7.668598175048828,211.0
7.7704010009765625,20.0
8.768299102783203,334.0
2.222301483154297,229.0
0.0,1.0
2.5240020751953125,1.0
4.203300476074219,166.0
2.4757003784179688,1.0
9.362701416015625,109.0
3.058502197265625,1.0
4.302101135253906,462.0
1.9153022766113281,184.0
4.861400604248047,979.0
5.915500640869141,49.0
3.8522987365722656,36.0
4.518699645996094,1185.0
4.526798248291016,470.0
6.199901580810547,180.0
4.560001373291016,22.0
1.4779014587402344,24.0
4.068000793457031,848.0
7.489601135253906,85.0
4.5948028564453125,124.0
1.0956001281738281,1.0
7.705101013183594,51.0
3.457897186279297,16.0
1.4019012451171875,1.0
3.611297607421875,321.0
2.8430023193359375,36.0
5.736900329589844,1490.0
7.7559967041015625,286.0
1.2451019287109375,83.0
0.9738998413085938,54.0
4.7032012939453125,1.0
1.8142013549804688,20.0
4.392402648925781,434.0
0.7568016052246094,36.0
2.80560302734375,374.0
0.9773979187011719,1.0
3.0672988891601562,27.0
6.177803039550781,79.0
8.183704376220703,123.0
3.7831993103027344,601.0
1.4673004150390625,52.0
10.793697357177734,195.0
6.298801422119141,11.0
2.6184005737304688,50.0
5.326206207275391,201.0
8.503700256347656,122.0
2.8767013549804688,10.0
3.9795989990234375,1.0
0.057102203369140625,51.0
2.8847007751464844,1.0
1.8850021362304688,112.0
6.266796112060547,187.0
0.0,44.0
5.020099639892578,25.0
7.097202301025391,74.0
2.29119873046875,240.0
7.574802398681641,110.0
4.935100555419922,85.0
1.0345993041992188,55.0
2.789997100830078,169.0
3.020099639892578,20.0
6.673301696777344,496.0
10.712696075439453,623.0
5.314998626708984,15.0
2.4394989013671875,94.0
1.6084022521972656,23.0
5.282798767089844,196.0
3.048900604248047,1.0
5.700702667236328,154.0
1.7117996215820312,14.0
2.377696990966797,112.0
3.8540000915527344,1.0
10.008201599121094,1042.0
6.214900970458984,1.0
7.431201934814453,241.0
1.1308021545410156,1.0
4.928798675537109,177.0
6.406898498535156,101.0
2.750701904296875,128.0
2.6136016845703125,15.0
3.326702117919922,194.0
3.773998260498047,177.0
0.9635009765625,400.0
0.0,1.0
1.1499977111816406,1.0
8.162601470947266,336.0
5.983600616455078,1.0
6.428897857666016,277.0
3.0569992065429688,24.0
3.0295982360839844,217.0
1.1427001953125,45.0
6.197597503662109,98.0
3.752696990966797,50.0
