,Train Regret,Test Regret,Train MSE,Test MSE,Train Elapsed,Test Elapsed,Train Nodes Count,Test Nodes Count
0,0.1820665751606504,0.2058371202518005,1957.6005,1965.6844,499.15563583374023,42.4935474395752,1.0,1.0
1,0.1803969505375381,0.195599953127998,1984.9427,1865.3574,404.3510890007019,41.348349809646606,1.0,1.0
2,0.1812385016541787,0.1940214203794633,1947.0613,1912.5951,346.2725830078125,41.48725485801697,1.0,1.0
3,0.1815252750666223,0.1927972396776662,1865.326,1847.6947,360.3622722625733,39.53863024711609,1.0,1.0
4,0.166235810919542,0.1744220426061448,2038.5737,1878.0609,541.1094856262207,43.085428953170776,1.0,1.0
5,0.1880606529009634,0.1961414917728053,1906.1147,1898.012,418.42519998550415,42.01378631591797,1.0,1.0
6,0.1709705575252961,0.1850743295006802,2030.3635,1912.717,506.23077392578125,43.50467467308045,1.0,1.0
7,0.1577055666286706,0.1724883208336522,1921.9607,1851.82,576.1739993095398,43.88153791427612,1.0,1.0
8,0.1733681812269197,0.1877354468915549,1944.1215,1939.9135,473.2002282142639,41.94133949279785,1.0,1.0
9,0.1841575212798491,0.1916784117193633,1992.5574,1912.3005,576.7686986923218,44.252004623413086,1.0,1.0
