Regret,MSE,Nodes
14.557796478271484,895.35895,10.0
5.827400207519531,1826.962,455.0
19.525802612304688,2841.9326,1.0
9.78570556640625,882.23676,1.0
10.620800018310547,1173.8784,1.0
5.917400360107422,2065.4456,1.0
11.711200714111328,1787.3843,38.0
7.1710968017578125,2034.6035,1.0
9.024295806884766,760.8753,119.0
12.34499740600586,2028.2158,1.0
16.817001342773438,1501.1279,1.0
10.59640121459961,1491.3572,178.0
13.80569839477539,3252.5203,1.0
8.212997436523438,1446.5848,1.0
3.383697509765625,1421.988,20.0
3.4188079833984375,1905.4777,1.0
2.6577987670898438,4302.5513,88.0
13.537303924560547,2525.8574,14.0
10.671504974365234,1458.6265,1.0
6.579296112060547,2451.8975,1.0
5.750099182128906,1965.9928,1.0
3.9130020141601562,1765.5488,45.0
6.357997894287109,587.6109,95.0
21.77459716796875,2888.1672,1.0
17.13900375366211,1445.2473,1.0
8.02780532836914,1846.113,1.0
7.753204345703125,2676.9023,9.0
9.219104766845703,3005.6458,234.0
15.362403869628906,1476.673,1.0
7.889896392822266,1318.3226,956.0
8.077198028564453,1590.0449,1.0
4.114505767822266,2189.128,11.0
17.37869644165039,2410.0098,37.0
14.89370346069336,915.8479,91.0
2.8257980346679688,3431.1072,1.0
24.027389526367188,3190.5803,1.0
14.665904998779297,1723.6731,44.0
6.745403289794922,1498.3625,1.0
3.4776954650878906,2711.2673,43.0
6.340198516845703,2070.5688,1.0
4.294597625732422,1570.2866,32.0
1.2500991821289062,2273.7642,1.0
9.078899383544922,1826.0529,26.0
4.634799957275391,1940.8607,1.0
12.249797821044922,3336.9321,1.0
15.736988067626953,1580.1914,1.0
7.685306549072266,1081.4526,43.0
2.748504638671875,2385.0552,5.0
10.314399719238281,944.6278,49.0
9.90069580078125,1668.3289,18.0
8.371097564697266,3135.9685,1.0
1.0943069458007812,1953.3539,1.0
11.707805633544922,1654.742,309.0
20.537403106689453,1770.2887,475.0
5.015602111816406,1595.3419,1.0
11.207199096679688,1823.381,1.0
15.431297302246094,2167.1396,12.0
32.3258056640625,3260.7148,1.0
7.184906005859375,1480.5541,7.0
4.839195251464844,2578.2488,125.0
27.577804565429688,829.5332,1.0
1.8710899353027344,948.22205,1.0
11.198295593261719,782.1512,18.0
6.666500091552734,1066.4877,20.0
8.19219970703125,2924.8333,1.0
4.806396484375,1855.2379,1.0
3.5769004821777344,1621.5739,34.0
24.935001373291016,3120.6404,1.0
13.036502838134766,1352.2528,1.0
4.366992950439453,1030.5001,3.0
10.318595886230469,3138.5583,139.0
7.220691680908203,1246.905,6.0
2.9300003051757812,1535.389,1.0
9.310096740722656,3672.1287,109.0
5.301799774169922,2109.9263,1.0
4.349098205566406,1763.3348,49.0
7.5027008056640625,1290.9875,49.0
7.005195617675781,1326.873,576.0
5.030101776123047,901.5018,1.0
15.073097229003906,3044.8655,166.0
8.070404052734375,1599.3334,1.0
10.417091369628906,2516.5593,1.0
3.4350013732910156,778.1903,1.0
3.838897705078125,2744.976,141.0
16.79879379272461,3747.4114,12.0
12.727108001708984,2189.4534,9.0
4.3762969970703125,1350.5134,49.0
9.773204803466797,3387.9873,17.0
19.18899917602539,2911.9375,1.0
18.624000549316406,2163.6626,1.0
19.043899536132812,1596.0719,1.0
2.2275047302246094,1250.542,162.0
5.542198181152344,1173.8834,12.0
17.01910400390625,1744.9702,78.0
4.9022979736328125,1934.3003,5.0
5.403297424316406,3359.8884,1.0
12.030799865722656,1022.0776,13.0
7.460689544677734,918.3479,1.0
5.398395538330078,1264.195,1.0
7.436504364013672,2317.4773,1.0
19.035701751708984,3437.2664,1.0
24.369304656982422,2617.0576,1.0
4.895805358886719,1141.4532,20.0
4.405303955078125,3557.8225,20.0
3.2159996032714844,1317.1235,1.0
11.564689636230469,1001.42694,15.0
6.56719970703125,2316.3079,377.0
16.615795135498047,2765.003,1.0
12.602500915527344,1134.1744,299.0
5.796596527099609,2377.7742,39.0
4.961696624755859,1886.9565,1.0
3.427104949951172,2033.6289,70.0
3.644805908203125,1225.9824,149.0
16.949989318847656,1568.1289,1.0
2.2167015075683594,1777.3752,41.0
7.441001892089844,1658.0575,110.0
7.549598693847656,1442.4191,1.0
8.740303039550781,2194.0261,1.0
4.806800842285156,1203.1671,1.0
5.591705322265625,469.24814,1.0
5.846199035644531,802.0053,7.0
6.942996978759766,1604.9735,241.0
11.905696868896484,1226.5896,50.0
4.881404876708984,2391.118,294.0
10.761405944824219,3192.815,1.0
7.28570556640625,1224.3625,15.0
11.584098815917969,1566.2593,11.0
14.961700439453125,2258.1477,70.0
2.604400634765625,1288.113,6.0
2.030292510986328,1183.1414,364.0
9.534698486328125,1946.9846,1.0
20.728408813476562,1111.0856,407.0
9.57949447631836,1295.1316,1.0
3.0152969360351562,2427.0254,12.0
-3.814697265625e-06,3423.385,1.0
6.950405120849609,2792.7012,314.0
14.436595916748047,1544.6561,37.0
10.81631851196289,1223.725,1.0
9.502002716064453,2260.0596,1.0
2.7836990356445312,2427.6726,22.0
5.16619873046875,1158.5835,1.0
11.13949966430664,2581.9253,1.0
10.230201721191406,1043.5004,1.0
8.40951156616211,2296.1028,94.0
14.258903503417969,769.60425,101.0
11.752498626708984,2243.6514,1.0
2.0157012939453125,1436.8052,1.0
2.3692970275878906,1269.5433,110.0
6.191802978515625,1756.1945,1.0
6.965694427490234,1405.7203,516.0
10.805301666259766,2979.1304,27.0
9.50589370727539,2239.327,1.0
0.8700981140136719,2050.547,1.0
3.9216995239257812,1941.189,14.0
3.4607009887695312,1821.6724,1.0
1.1708984375,5032.3906,37.0
6.262901306152344,1829.3943,28.0
24.729400634765625,2144.0396,1.0
4.356700897216797,1573.8391,20.0
0.7831001281738281,1341.6085,13.0
18.132305145263672,2115.0159,1.0
5.052299499511719,1817.6543,93.0
2.5813980102539062,1092.1597,1.0
9.206199645996094,1394.4348,1.0
6.682395935058594,1350.7512,56.0
4.579704284667969,1613.3226,29.0
5.363800048828125,2212.1265,7.0
15.920700073242188,2186.7256,1.0
5.249500274658203,1081.7545,1.0
9.693595886230469,2336.6672,130.0
11.764301300048828,3360.909,1.0
12.937305450439453,2619.8823,1.0
19.592899322509766,2853.3232,1.0
15.494197845458984,1402.8961,1.0
10.241703033447266,2012.6353,50.0
13.824100494384766,1795.5854,1.0
0.4149055480957031,2523.099,14.0
14.975601196289062,1697.3,1.0
14.143699645996094,1322.7423,9.0
12.361900329589844,1221.4409,1.0
13.283496856689453,2477.4456,1.0
15.619499206542969,1751.7312,1.0
7.607601165771484,2297.1367,1.0
12.380294799804688,726.2954,1.0
12.37030029296875,2685.2583,1.0
11.309303283691406,2328.7646,1.0
11.989997863769531,1813.5345,1.0
4.761802673339844,2298.1465,3.0
15.186397552490234,1178.272,1.0
3.7883987426757812,3885.4624,60.0
9.889297485351562,931.29987,5.0
9.46999740600586,1648.9857,1.0
10.843498229980469,2950.7937,1.0
9.858203887939453,4155.103,87.0
16.87540054321289,1754.0763,409.0
23.452198028564453,1182.6138,1.0
4.076301574707031,1451.367,1.0
1.1468963623046875,748.3247,1.0
2.0232009887695312,1058.6309,28.0
13.950702667236328,1220.7478,1.0
18.81999969482422,1963.9479,1.0
4.510707855224609,1045.8536,1.0
18.257198333740234,3856.2458,1.0
39.02961349487305,1972.8364,1.0
19.94860076904297,1327.2318,1.0
6.291103363037109,929.74347,55.0
4.901699066162109,1585.8982,151.0
8.089801788330078,2053.298,18.0
0.00949859619140625,2431.4792,1.0
3.4140968322753906,1086.134,13.0
19.515705108642578,2026.3165,11.0
1.1053924560546875,1026.4955,1.0
9.641704559326172,2374.1653,334.0
10.984306335449219,581.4782,1.0
15.519500732421875,2044.8024,1.0
19.138507843017578,2494.5342,1.0
13.13010025024414,1504.5929,1.0
2.7402992248535156,2270.1316,1.0
22.010906219482422,1771.2562,34.0
5.797397613525391,1493.814,161.0
15.720901489257812,938.3529,69.0
4.483894348144531,733.7737,129.0
1.6877975463867188,1427.1608,142.0
5.025703430175781,2054.7544,6.0
4.797496795654297,1943.5641,1.0
12.176494598388672,1435.5494,122.0
2.5286026000976562,1928.0332,667.0
2.85760498046875,1263.9795,1.0
7.436397552490234,1415.489,84.0
20.683204650878906,2458.7844,1.0
17.128398895263672,1680.274,143.0
4.198596954345703,833.3442,1.0
3.7387008666992188,1070.8513,1.0
8.906696319580078,1209.188,1.0
14.419395446777344,2785.4636,1.0
18.150096893310547,1381.1699,1.0
6.538902282714844,1749.9952,5.0
11.236396789550781,2434.5845,1.0
14.10440444946289,1599.187,37.0
14.363094329833984,1102.7502,1.0
9.526100158691406,1515.9653,250.0
20.647693634033203,1184.8951,7.0
4.298404693603516,2521.4714,54.0
9.122600555419922,3318.2922,107.0
7.319896697998047,1957.2627,1.0
12.520198822021484,1052.358,1.0
5.373199462890625,3614.2273,1.0
3.047698974609375,927.78796,76.0
3.6334991455078125,2227.9282,1.0
3.2287979125976562,1642.1262,1.0
4.374603271484375,1186.504,1.0
2.7883987426757812,1224.8077,90.0
6.852497100830078,1597.2363,47.0
4.499691009521484,2295.629,80.0
8.782600402832031,3844.6394,220.0
7.301090240478516,1398.1753,1.0
2.8180007934570312,936.7328,242.0
17.766403198242188,2955.226,1.0
2.625499725341797,855.6675,100.0
2.1971054077148438,1699.8848,1.0
4.333198547363281,1535.4404,1.0
14.26639175415039,2330.41,1.0
7.464000701904297,2408.2097,1.0
3.6063995361328125,1398.9497,1.0
13.692806243896484,963.74927,19.0
1.5757026672363281,1766.9429,1.0
3.3420982360839844,1597.542,1.0
4.3423004150390625,1167.6525,22.0
15.57980728149414,1109.7672,251.0
7.259601593017578,2090.395,1.0
12.349998474121094,1193.8523,1.0
1.3843955993652344,1377.2185,4.0
5.909801483154297,955.7866,79.0
0.0,1090.977,1.0
33.268104553222656,2748.1553,43.0
5.830692291259766,1691.9172,1.0
10.407302856445312,465.65454,1.0
9.375694274902344,1455.261,161.0
17.889400482177734,2654.685,1.0
6.2071990966796875,2912.851,21.0
2.2442970275878906,1645.0342,1.0
19.158000946044922,1895.9531,1.0
16.28900146484375,1543.6239,225.0
5.125797271728516,1647.3562,1.0
3.294696807861328,931.93787,6.0
8.563896179199219,1166.5206,1.0
12.89059829711914,3346.9006,1.0
16.156204223632812,1436.7134,1.0
16.999698638916016,1765.8263,1.0
1.4648971557617188,2126.887,39.0
12.391300201416016,2211.2966,1.0
18.694198608398438,3110.1794,33.0
14.199901580810547,1989.9342,1.0
8.898796081542969,1450.4706,26.0
5.091499328613281,2507.8333,76.0
11.932804107666016,3576.3315,1.0
4.956001281738281,1445.2244,1.0
4.557697296142578,1446.0342,1.0
3.4470977783203125,1316.3446,1.0
16.08879852294922,2022.311,56.0
4.842597961425781,2335.2712,96.0
12.319705963134766,1569.4469,42.0
6.794193267822266,602.15784,36.0
23.40019989013672,2736.5212,1.0
12.907302856445312,2516.6965,1.0
10.43759536743164,3010.9976,1.0
9.179603576660156,1495.825,1.0
14.477100372314453,1107.2421,1.0
8.676597595214844,2703.599,117.0
0.6928024291992188,3237.2976,4.0
6.896800994873047,1739.9639,62.0
8.243194580078125,1644.6526,1.0
12.55600357055664,1667.0952,31.0
14.462600708007812,2344.4937,1.0
12.622699737548828,1604.8411,1.0
12.322498321533203,1227.8619,1.0
13.254199981689453,1333.6509,41.0
4.051303863525391,922.98346,122.0
16.269207000732422,998.7825,1.0
8.419795989990234,2867.875,75.0
14.393802642822266,2353.6018,1.0
8.116905212402344,2219.0525,1.0
15.091896057128906,994.364,51.0
5.6779022216796875,2927.831,196.0
8.37179946899414,1422.0948,1.0
14.43649673461914,3107.673,1.0
8.88759994506836,4874.952,1.0
17.118091583251953,4192.569,10.0
0.84539794921875,519.512,376.0
18.113693237304688,1659.1333,1.0
16.470596313476562,2469.6328,1.0
3.2615013122558594,531.2048,140.0
8.408702850341797,3157.5652,1.0
14.550796508789062,3149.4778,46.0
3.8375015258789062,2448.9922,76.0
10.234199523925781,731.70105,66.0
4.634101867675781,1358.536,69.0
16.028797149658203,2711.4976,17.0
11.629192352294922,1489.2003,1.0
32.4579963684082,2593.3032,1.0
8.355300903320312,2888.0234,11.0
11.111495971679688,2422.0364,1.0
